key;types;long_name;standard_name;units;conventions;coordinates;positive;valid_min;valid_max;format;_FillValue;axis;resolution;comment;default_value;flag_values;flag_meanings;reference;coordinate_reference_frame
string;string;string;string;string;string;string;string;numeric;numeric;string;numeric;string;numeric;string;string;string;string;string;string
TSMF;float32;total mass flux;;milligram/(m2.day);;;;0;9999.9;%6.1f;9999.9;;;;;;;;
TSMP;float32;total suspended matter;;gram/m3;;;;0;100;%7.3f;999.999;;;;;;;;
TUR0;float32;light transmission -  not used;;%;;;;0;100;%6.2f;999.99;;;;;;;;
TUR1;float32;light diffusion coefficient;;m-1;;TIME DEPTH LATITUDE LONGITUDE;;0;10;%6.3f;1E+36;;0.001;;;;;;
TUR2;float32;light attenuation coefficient;;m-1;;TIME DEPTH LATITUDE LONGITUDE;;0;10;%6.3f;1E+36;;0.001;;;;;;
TUR3;float32;light transmission;;%;;TIME DEPTH LATITUDE LONGITUDE;;0;100;%6.2f;1E+36;;0.001;;;;;;
TUR4;float32;turbidity;;N.T.U Nephelo Turb. Unit;;;;0;100;%6.2f;999.99;;;;;;;;
TUR5;float32;turbidity;;relative unit;;;;0;10;%7.4f;99.9999;;;;;;;;
TUR6;float32;turbidity;;milliF.T.U Formaz Turb Unit;;;;0;5000;%6.1f;9999.9;;;;;;;;
TXAP;float32;diatoxanthine;;milligram/m3;;;;0;5;%6.3f;99.999;;;;;;;;
TYPECAST;int32;"type of cast: unknow=0;phy=1;bio=2;geo=3";;1;;;;0;9;%1d;99999;;;;;;;;
UREA;float32;urea;;millimole/m3;;;;0;5;%5.2f;99.99;;;;;;;;
VAVH;float32;aver. height highest 1/3 wave;;metre;;;;0;30;%5.2f;99.99;;;;;;;;
VCSP;float32;vertical current speed;;cm/s;;;;0;9;%5.3f;9.999;;;;;;;;
VERR;float32;velocity error;;cm/s;;;;0;90;%6.3f;99.999;;;;;;;;
VERT;float32;vertical displacement;;meters;;;;0;9999;%8.3f;9999.999;;;;;;;;
VOCP;float32;volume conc. of particles;;p.p.m.;;;;0;99;%6.3f;99.999;;;;;;;;
